heure,pseudo,contexte,composant,evenement
2023-12-15 11:04:49,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-15 13:44:53,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-15 17:01:29,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-20 09:02:55,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-20 09:26:59,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-20 10:41:36,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-21 16:20:19,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-21 16:56:18,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-29 16:35:24,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-29 16:36:38,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-30 11:53:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-30 16:26:49,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2023-12-31 16:59:40,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-01 17:07:43,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-03 10:30:23,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-03 17:33:16,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-04 06:28:46,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-04 17:19:39,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-05 17:29:15,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-05 17:50:30,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-05 21:26:35,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-06 11:58:36,744,Cours: L3 MIAGE : Compilation (23-24),Système,Sauvegarde de cours créée
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Élément d’évaluation créé
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours créée
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours créée
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours créée
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours créée
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours créée
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Instance d’inscription créée
2024-01-06 12:06:52,744,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours créée
2024-01-06 12:06:53,744,Cours: L3 MIAGE : Compilation (23-24),Système,Cours restauré
2024-01-06 12:06:53,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:06:53,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:06:53,744,Cours: L3 MIAGE : Compilation (23-24),Système,Instance d’inscription créée
2024-01-06 12:06:53,744,Cours: L3 MIAGE : Compilation (23-24),Système,Instance d’inscription modifiée
2024-01-06 12:06:53,744,Cours: L3 MIAGE : Compilation (23-24),Système,Instance d’inscription modifiée
2024-01-06 12:11:58,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-06 12:12:06,425,Cours: L3 MIAGE : Compilation (23-24),Rapport de l’évaluateur,Rapport de l’évaluateur consulté
2024-01-06 12:12:16,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:07,744,Cours: L3 MIAGE : Compilation (23-24),Système,Capacité attribuée
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:08,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
